x y u v
0.0900 0.0000 0.0487 0.3001 4.5756 0.0000 0.0754 0.0000
0.2533 0.0000 0.0424 0.0434 4.5667 0.0000 0.1974 0.0105
3.6958 1.9701 3.8880 0.6255 1.8346 0.1443 1.1137 6.0959
3.1435 5.8376 2.8725 3.3995 3.9569 0.3102 0.7791 0.4068
0.0844 0.0000 0.1524 0.0000 0.1200 0.0000 0.1021 0.0000
2.7292 0.2134 0.3096 0.0000 0.0200 0.0000 0.0597 0.0000
8.1332 2.3223 0.3174 0.0000 0.0622 0.0000 0.0251 0.1471
2.8011 3.0780 0.9851 0.1459 1.0954 1.1850 3.8578 0.8874
0.1456 0.0000 0.0754 0.0000 0.1400 0.0000 0.0927 0.0000
7.5746 1.9474 0.3041 0.1412 0.1296 0.0861 0.2893 0.5296
8.4454 2.0448 0.4133 0.0000 0.1111 0.0000 0.4846 0.0281
0.8300 0.3276 1.1126 0.1581 0.5117 0.1484 2.0505 0.2657
0.0644 0.0000 0.1289 0.0000 0.1611 0.0000 0.1006 0.0000
6.7886 0.8183 0.1744 0.0000 0.0367 0.0000 0.0542 0.0141
10.1275 0.7714 0.2696 0.0070 0.1333 0.0323 1.4253 0.1757
0.4233 0.0000 0.4243 0.0000 0.2277 0.6237 1.4916 0.0035
